id,sbi
20231021_500101001_00:00,8.7176311
20231021_500101001_00:20,10.969785300000002
20231021_500101001_00:40,6.5498785500000025
20231021_500101001_01:00,5.44056865
20231021_500101001_01:20,4.715148950000001
20231021_500101001_01:40,4.831086600000001
20231021_500101001_02:00,6.999758749999998
20231021_500101001_02:20,7.556652199999999
20231021_500101001_02:40,8.6868685
20231021_500101001_03:00,9.9035671
20231021_500101001_03:20,11.378636349999999
20231021_500101001_03:40,13.2705015
20231021_500101001_04:00,14.70780685
20231021_500101001_04:20,18.169677550000003
20231021_500101001_04:40,19.010331299999997
20231021_500101001_05:00,19.95762905
20231021_500101001_05:20,19.518554249999998
20231021_500101001_05:40,19.874058499999997
20231021_500101001_06:00,22.067225200000003
20231021_500101001_06:20,21.275764099999996
20231021_500101001_06:40,19.338215950000002
20231021_500101001_07:00,17.952944300000006
20231021_500101001_07:20,13.538481850000002
20231021_500101001_07:40,9.597286799999997
20231021_500101001_08:00,6.513134250000002
20231021_500101001_08:20,5.3838702
20231021_500101001_08:40,4.8880812
20231021_500101001_09:00,3.51798755
20231021_500101001_09:20,2.3169346000000006
20231021_500101001_09:40,2.3014193
20231021_500101001_10:00,2.6802986
20231021_500101001_10:20,3.917484249999999
20231021_500101001_10:40,4.542136449999999
20231021_500101001_11:00,5.2134789
20231021_500101001_11:20,5.824300999999999
20231021_500101001_11:40,6.1112179000000015
20231021_500101001_12:00,7.792986499999998
20231021_500101001_12:20,8.2028903
20231021_500101001_12:40,8.4071266
20231021_500101001_13:00,7.5730782
20231021_500101001_13:20,6.0973688
20231021_500101001_13:40,5.5519438999999995
20231021_500101001_14:00,4.28219705
20231021_500101001_14:20,3.967572150000001
20231021_500101001_14:40,3.347606900000001
20231021_500101001_15:00,2.7609679999999996
20231021_500101001_15:20,3.1906631
20231021_500101001_15:40,3.943538000000001
20231021_500101001_16:00,4.2219240000000005
20231021_500101001_16:20,4.06910595
20231021_500101001_16:40,3.3167648499999998
20231021_500101001_17:00,3.9758314000000015
20231021_500101001_17:20,4.7570619
20231021_500101001_17:40,7.533557549999999
20231021_500101001_18:00,6.929831999999999
20231021_500101001_18:20,6.239660150000001
20231021_500101001_18:40,6.208304699999999
20231021_500101001_19:00,5.557120549999999
20231021_500101001_19:20,5.8178816
20231021_500101001_19:40,5.339846549999999
20231021_500101001_20:00,4.324107399999999
20231021_500101001_20:20,3.9741735500000006
20231021_500101001_20:40,2.8724821500000006
20231021_500101001_21:00,2.48929035
20231021_500101001_21:20,2.2783052000000006
20231021_500101001_21:40,1.9031410500000003
20231021_500101001_22:00,2.11556445
20231021_500101001_22:20,1.9726655000000002
20231021_500101001_22:40,2.05535245
20231021_500101001_23:00,2.505992
20231021_500101001_23:20,2.80240225
20231021_500101001_23:40,4.333849950000001
20231022_500101001_00:00,7.54970005
20231022_500101001_00:20,11.9451815
20231022_500101001_00:40,9.654048249999997
20231022_500101001_01:00,9.27036895
20231022_500101001_01:20,8.53148415
20231022_500101001_01:40,7.785508899999999
20231022_500101001_02:00,9.020142750000002
20231022_500101001_02:20,9.396604799999999
20231022_500101001_02:40,9.99757855
20231022_500101001_03:00,9.663134450000001
20231022_500101001_03:20,9.884814299999999
20231022_500101001_03:40,10.3089083
20231022_500101001_04:00,10.48685265
20231022_500101001_04:20,11.683948700000002
20231022_500101001_04:40,10.7123144
20231022_500101001_05:00,10.333223799999999
20231022_500101001_05:20,10.507734150000001
20231022_500101001_05:40,11.00078675
20231022_500101001_06:00,11.733303249999999
20231022_500101001_06:20,11.87193755
20231022_500101001_06:40,11.6268376
20231022_500101001_07:00,10.694885550000002
20231022_500101001_07:20,8.1278696
20231022_500101001_07:40,5.5268676999999995
20231022_500101001_08:00,2.7689209999999997
20231022_500101001_08:20,1.7756837
20231022_500101001_08:40,1.6096987499999997
20231022_500101001_09:00,1.8129382
20231022_500101001_09:20,2.0195404
20231022_500101001_09:40,2.66293165
20231022_500101001_10:00,2.5356704000000008
20231022_500101001_10:20,2.557255
20231022_500101001_10:40,3.0105769500000004
20231022_500101001_11:00,3.5163010999999997
20231022_500101001_11:20,3.1525783499999998
20231022_500101001_11:40,2.9493170999999996
20231022_500101001_12:00,2.7991466
20231022_500101001_12:20,2.78823135
