ID, month, day, weekday, accumulated minutes, Sun, Mon, Tue, Wed, Thu, Fri, Sat, capacity, bike amount
1696176060,10,2,0,1,1,0,0,0,0,0,0,27,0
1696176120,10,2,0,2,1,0,0,0,0,0,0,27,0
1696176180,10,2,0,3,1,0,0,0,0,0,0,27,0
1696176240,10,2,0,4,1,0,0,0,0,0,0,27,0
1696176300,10,2,0,5,1,0,0,0,0,0,0,27,0
1696176360,10,2,0,6,1,0,0,0,0,0,0,27,0
1696176420,10,2,0,7,1,0,0,0,0,0,0,27,0
1696176480,10,2,0,8,1,0,0,0,0,0,0,27,0
1696176540,10,2,0,9,1,0,0,0,0,0,0,27,0
1696176600,10,2,0,10,1,0,0,0,0,0,0,27,0
1696176660,10,2,0,11,1,0,0,0,0,0,0,27,0
1696176720,10,2,0,12,1,0,0,0,0,0,0,27,0
1696176780,10,2,0,13,1,0,0,0,0,0,0,27,0
1696176840,10,2,0,14,1,0,0,0,0,0,0,27,0
1696176900,10,2,0,15,1,0,0,0,0,0,0,27,0
1696176960,10,2,0,16,1,0,0,0,0,0,0,27,0
1696177020,10,2,0,17,1,0,0,0,0,0,0,27,0
1696177080,10,2,0,18,1,0,0,0,0,0,0,27,0
1696177140,10,2,0,19,1,0,0,0,0,0,0,27,0
1696177260,10,2,0,21,1,0,0,0,0,0,0,27,0
1696177320,10,2,0,22,1,0,0,0,0,0,0,27,0
1696177380,10,2,0,23,1,0,0,0,0,0,0,27,0
1696177440,10,2,0,24,1,0,0,0,0,0,0,27,0
1696177500,10,2,0,25,1,0,0,0,0,0,0,27,0
1696177560,10,2,0,26,1,0,0,0,0,0,0,27,0
1696177620,10,2,0,27,1,0,0,0,0,0,0,27,0
1696177680,10,2,0,28,1,0,0,0,0,0,0,27,0
1696177740,10,2,0,29,1,0,0,0,0,0,0,27,0
1696177800,10,2,0,30,1,0,0,0,0,0,0,27,0
1696177860,10,2,0,31,1,0,0,0,0,0,0,27,0
1696177920,10,2,0,32,1,0,0,0,0,0,0,27,0
1696177980,10,2,0,33,1,0,0,0,0,0,0,27,0
1696178040,10,2,0,34,1,0,0,0,0,0,0,27,0
1696178100,10,2,0,35,1,0,0,0,0,0,0,27,0
1696178160,10,2,0,36,1,0,0,0,0,0,0,27,0
1696178220,10,2,0,37,1,0,0,0,0,0,0,27,0
1696178280,10,2,0,38,1,0,0,0,0,0,0,27,0
1696178340,10,2,0,39,1,0,0,0,0,0,0,27,0
1696178400,10,2,0,40,1,0,0,0,0,0,0,27,0
1696178460,10,2,0,41,1,0,0,0,0,0,0,27,0
1696178520,10,2,0,42,1,0,0,0,0,0,0,27,0
1696178580,10,2,0,43,1,0,0,0,0,0,0,27,0
1696178640,10,2,0,44,1,0,0,0,0,0,0,27,0
1696178700,10,2,0,45,1,0,0,0,0,0,0,27,0
1696178760,10,2,0,46,1,0,0,0,0,0,0,27,0
1696178820,10,2,0,47,1,0,0,0,0,0,0,27,0
1696178880,10,2,0,48,1,0,0,0,0,0,0,27,0
1696178940,10,2,0,49,1,0,0,0,0,0,0,27,0
1696179000,10,2,0,50,1,0,0,0,0,0,0,27,0
1696179060,10,2,0,51,1,0,0,0,0,0,0,27,0
1696179120,10,2,0,52,1,0,0,0,0,0,0,27,0
1696179180,10,2,0,53,1,0,0,0,0,0,0,27,0
1696179240,10,2,0,54,1,0,0,0,0,0,0,27,0
1696179300,10,2,0,55,1,0,0,0,0,0,0,27,0
1696179360,10,2,0,56,1,0,0,0,0,0,0,27,0
1696179420,10,2,0,57,1,0,0,0,0,0,0,27,0
1696179480,10,2,0,58,1,0,0,0,0,0,0,27,0
1696179540,10,2,0,59,1,0,0,0,0,0,0,27,0
1696179600,10,2,0,60,1,0,0,0,0,0,0,27,0
1696179660,10,2,0,61,1,0,0,0,0,0,0,27,0
1696179720,10,2,0,62,1,0,0,0,0,0,0,27,0
1696179780,10,2,0,63,1,0,0,0,0,0,0,27,0
1696179840,10,2,0,64,1,0,0,0,0,0,0,27,0
1696179900,10,2,0,65,1,0,0,0,0,0,0,27,0
1696179960,10,2,0,66,1,0,0,0,0,0,0,27,0
1696180020,10,2,0,67,1,0,0,0,0,0,0,27,0
1696180080,10,2,0,68,1,0,0,0,0,0,0,27,0
1696180140,10,2,0,69,1,0,0,0,0,0,0,27,0
1696180200,10,2,0,70,1,0,0,0,0,0,0,27,0
1696180260,10,2,0,71,1,0,0,0,0,0,0,27,0
1696180320,10,2,0,72,1,0,0,0,0,0,0,27,0
1696180380,10,2,0,73,1,0,0,0,0,0,0,27,0
1696180440,10,2,0,74,1,0,0,0,0,0,0,27,0
1696180500,10,2,0,75,1,0,0,0,0,0,0,27,0
1696180560,10,2,0,76,1,0,0,0,0,0,0,27,0
1696180620,10,2,0,77,1,0,0,0,0,0,0,27,0
1696180680,10,2,0,78,1,0,0,0,0,0,0,27,0
1696180740,10,2,0,79,1,0,0,0,0,0,0,27,0
1696180860,10,2,0,81,1,0,0,0,0,0,0,27,0
1696180920,10,2,0,82,1,0,0,0,0,0,0,27,0
1696180980,10,2,0,83,1,0,0,0,0,0,0,27,0
1696181040,10,2,0,84,1,0,0,0,0,0,0,27,0
1696181100,10,2,0,85,1,0,0,0,0,0,0,27,0
1696181160,10,2,0,86,1,0,0,0,0,0,0,27,0
1696181220,10,2,0,87,1,0,0,0,0,0,0,27,0
1696181280,10,2,0,88,1,0,0,0,0,0,0,27,0
1696181340,10,2,0,89,1,0,0,0,0,0,0,27,0
1696181400,10,2,0,90,1,0,0,0,0,0,0,27,0
1696181460,10,2,0,91,1,0,0,0,0,0,0,27,0
1696181520,10,2,0,92,1,0,0,0,0,0,0,27,0
1696181580,10,2,0,93,1,0,0,0,0,0,0,27,0
1696181640,10,2,0,94,1,0,0,0,0,0,0,27,0
1696181700,10,2,0,95,1,0,0,0,0,0,0,27,0
1696181760,10,2,0,96,1,0,0,0,0,0,0,27,0
1696181820,10,2,0,97,1,0,0,0,0,0,0,27,0
1696181880,10,2,0,98,1,0,0,0,0,0,0,27,0
1696181940,10,2,0,99,1,0,0,0,0,0,0,27,0
1696182000,10,2,0,100,1,0,0,0,0,0,0,27,0
1696182060,10,2,0,101,1,0,0,0,0,0,0,27,0
1696182120,10,2,0,102,1,0,0,0,0,0,0,27,0
1696182180,10,2,0,103,1,0,0,0,0,0,0,27,0
1696182240,10,2,0,104,1,0,0,0,0,0,0,27,0
1696182300,10,2,0,105,1,0,0,0,0,0,0,27,0
1696182360,10,2,0,106,1,0,0,0,0,0,0,27,0
1696182420,10,2,0,107,1,0,0,0,0,0,0,27,0
1696182480,10,2,0,108,1,0,0,0,0,0,0,27,0
1696182540,10,2,0,109,1,0,0,0,0,0,0,27,0
1696182600,10,2,0,110,1,0,0,0,0,0,0,27,0
1696182660,10,2,0,111,1,0,0,0,0,0,0,27,0
1696182720,10,2,0,112,1,0,0,0,0,0,0,27,0
1696182780,10,2,0,113,1,0,0,0,0,0,0,27,0
1696182840,10,2,0,114,1,0,0,0,0,0,0,27,0
1696182900,10,2,0,115,1,0,0,0,0,0,0,27,0
1696182960,10,2,0,116,1,0,0,0,0,0,0,27,0
1696183020,10,2,0,117,1,0,0,0,0,0,0,27,0
1696183080,10,2,0,118,1,0,0,0,0,0,0,27,0
1696183140,10,2,0,119,1,0,0,0,0,0,0,27,0
1696183260,10,2,0,121,1,0,0,0,0,0,0,27,0
1696183320,10,2,0,122,1,0,0,0,0,0,0,27,0
1696183380,10,2,0,123,1,0,0,0,0,0,0,27,0
1696183440,10,2,0,124,1,0,0,0,0,0,0,27,0
1696183500,10,2,0,125,1,0,0,0,0,0,0,27,0
1696183560,10,2,0,126,1,0,0,0,0,0,0,27,0
1696183620,10,2,0,127,1,0,0,0,0,0,0,27,0
1696183680,10,2,0,128,1,0,0,0,0,0,0,27,0
1696183740,10,2,0,129,1,0,0,0,0,0,0,27,0
1696183800,10,2,0,130,1,0,0,0,0,0,0,27,0
1696183860,10,2,0,131,1,0,0,0,0,0,0,27,0
1696183920,10,2,0,132,1,0,0,0,0,0,0,27,0
1696183980,10,2,0,133,1,0,0,0,0,0,0,27,0
1696184040,10,2,0,134,1,0,0,0,0,0,0,27,0
1696184100,10,2,0,135,1,0,0,0,0,0,0,27,0
1696184160,10,2,0,136,1,0,0,0,0,0,0,27,0
1696184220,10,2,0,137,1,0,0,0,0,0,0,27,0
1696184280,10,2,0,138,1,0,0,0,0,0,0,27,0
1696184340,10,2,0,139,1,0,0,0,0,0,0,27,0
1696184460,10,2,0,141,1,0,0,0,0,0,0,27,0
1696184520,10,2,0,142,1,0,0,0,0,0,0,27,0
1696184580,10,2,0,143,1,0,0,0,0,0,0,27,0
1696184640,10,2,0,144,1,0,0,0,0,0,0,27,0
1696184700,10,2,0,145,1,0,0,0,0,0,0,27,0
1696184760,10,2,0,146,1,0,0,0,0,0,0,27,0
1696184820,10,2,0,147,1,0,0,0,0,0,0,27,0
1696184880,10,2,0,148,1,0,0,0,0,0,0,27,0
1696184940,10,2,0,149,1,0,0,0,0,0,0,27,0
1696185000,10,2,0,150,1,0,0,0,0,0,0,27,0
1696185060,10,2,0,151,1,0,0,0,0,0,0,27,0
1696185120,10,2,0,152,1,0,0,0,0,0,0,27,0
1696185180,10,2,0,153,1,0,0,0,0,0,0,27,0
1696185240,10,2,0,154,1,0,0,0,0,0,0,27,0
1696185300,10,2,0,155,1,0,0,0,0,0,0,27,0
1696185360,10,2,0,156,1,0,0,0,0,0,0,27,0
1696185420,10,2,0,157,1,0,0,0,0,0,0,27,0
1696185480,10,2,0,158,1,0,0,0,0,0,0,27,0
1696185540,10,2,0,159,1,0,0,0,0,0,0,27,0
1696185600,10,2,0,160,1,0,0,0,0,0,0,27,0
1696185660,10,2,0,161,1,0,0,0,0,0,0,27,0
1696185720,10,2,0,162,1,0,0,0,0,0,0,27,0
1696185780,10,2,0,163,1,0,0,0,0,0,0,27,0
1696185840,10,2,0,164,1,0,0,0,0,0,0,27,0
1696185900,10,2,0,165,1,0,0,0,0,0,0,27,0
1696185960,10,2,0,166,1,0,0,0,0,0,0,27,0
1696186020,10,2,0,167,1,0,0,0,0,0,0,27,0
1696186080,10,2,0,168,1,0,0,0,0,0,0,27,0
1696186140,10,2,0,169,1,0,0,0,0,0,0,27,0
1696186200,10,2,0,170,1,0,0,0,0,0,0,27,0
1696186260,10,2,0,171,1,0,0,0,0,0,0,27,0
1696186320,10,2,0,172,1,0,0,0,0,0,0,27,0
1696186380,10,2,0,173,1,0,0,0,0,0,0,27,0
1696186440,10,2,0,174,1,0,0,0,0,0,0,27,0
1696186500,10,2,0,175,1,0,0,0,0,0,0,27,0
1696186560,10,2,0,176,1,0,0,0,0,0,0,27,0
1696186620,10,2,0,177,1,0,0,0,0,0,0,27,0
1696186680,10,2,0,178,1,0,0,0,0,0,0,27,0
1696186740,10,2,0,179,1,0,0,0,0,0,0,27,0
1696186800,10,2,0,180,1,0,0,0,0,0,0,27,0
1696186860,10,2,0,181,1,0,0,0,0,0,0,27,0
1696186920,10,2,0,182,1,0,0,0,0,0,0,27,0
1696186980,10,2,0,183,1,0,0,0,0,0,0,27,0
1696187040,10,2,0,184,1,0,0,0,0,0,0,27,0
1696187100,10,2,0,185,1,0,0,0,0,0,0,27,0
1696187160,10,2,0,186,1,0,0,0,0,0,0,27,0
1696187220,10,2,0,187,1,0,0,0,0,0,0,27,0
1696187280,10,2,0,188,1,0,0,0,0,0,0,27,0
1696187340,10,2,0,189,1,0,0,0,0,0,0,27,0
1696187400,10,2,0,190,1,0,0,0,0,0,0,27,0
1696187460,10,2,0,191,1,0,0,0,0,0,0,27,0
1696187520,10,2,0,192,1,0,0,0,0,0,0,27,0
1696187580,10,2,0,193,1,0,0,0,0,0,0,27,0
1696187640,10,2,0,194,1,0,0,0,0,0,0,27,0
1696187700,10,2,0,195,1,0,0,0,0,0,0,27,0
